,emotion,text
187,disgust,"Out of sheer curiosity, I went to see a pornographic movie in  
Copenhagen.  The room was full of men, who panted and  
masturbated.  Very disgusting."
203,disgust,Dog dirt which thaws in the spring.
228,disgust,If a guy one is not interested in makes advances.
235,disgust,Someone vomited on the street.
242,disgust,When I saw a dog which had been knocked down by a car.
249,disgust,When I was on holiday someone vomited in front of me.
256,disgust,"I was forced to stay in the canteen and eat the food that I had  
not asked for but got it anyway."
263,disgust,"In a warm bus full of people, someone vomited and the whole bus  
stank."
270,disgust,"When I read a newspaper article on a young girl who had been  
raped and assaulted one night by several men when she was unconscious."
277,disgust,"When I slept with a guy because my best friend wanted me to.   
He had never had intercourse with anyone and had a terrible  
complex about it."
284,disgust,"When a member of the family complains about the food that is  
served, it disgusts me."
290,disgust,"When I was working as a nurse in a mental hospital, a patient ate  
up the contents of another patient's spitoon."
297,disgust,"At a certain person's lack of cleanliness, at home and  
personally."
304,disgust,"My parents attitude towards each other when they should become  
reconciled, despite my father's long-time addiction."
311,disgust,"When I was about to clean the draining board and saw it looked  
underneath the sink (I live in a students hostel)."
318,disgust,A mother who shouts at her child for nothing.
325,disgust,When I saw a big spider from very close.
332,disgust,"The first time that I saw a surgeon cut off a leg and put it in a  
black rubbish bag."
339,disgust,T.V features showing the violation of defenceless people.
346,disgust,Spit and vomit.
353,disgust,"A study visit to a chicken factory : the butchery, the smell,  
the environment and the noise."
360,disgust,When programmes on violence or pornography are shown on T.V.
367,disgust,"A film were a woman was attacked and raped.  One did not see the  
worst but it had the desired effect - very strong."
374,disgust,"When my cat vomited and a worm came out which was still alive.  I  
was forced to wipe it up."
381,disgust,"Disgust is a feeling that I have never experienced with peoplie  
but , on the other hand, it has been with repulsive animals, i;e  
snakes on T.V."
388,disgust,"At the police centre a man between 40-50 was brought in.  He was  
very drunk and in all likelihood had not slept indoors for a long  
time and had relieved himself in his trousers."
395,disgust,"I had some sort of a stomach virus last week and  I vomited in  
college in the morning, then in the cake shop, three times during  
the trip home and again when I got home."
402,disgust,"When I think now about the way my father behaved when filing a  
divorce."
409,disgust,"When I tried to explain to my child as to why there were  
magazines wiith naked girls on them at the kiosk."
416,disgust,"When I saw a T.V programme on animals in the film world  
(mistreated and used)."
423,disgust,When I read racist slogans on the walls.
430,disgust,"When I was an auxiliary nurse at the hospital and I had to change  
the nappies, for the first time, of a very old and sick woman."
437,disgust,"When I woke up one morning and went to the kitchen I discovered  
that our dog had diarrhoea.  There were small ""piles"" all over  
the floor and the smell was choking."
444,disgust,The lift of Stockholm central station stank of vomit and urine.
451,disgust,"I was dominated by a certain person and even though I knew it I  
could not change my own reactions."
458,disgust,"A friend unjustly put the blame on me to relieve his conscience  
and also spread lies for the same purpose."
465,disgust,"When I discovered that the house we had hired in Tonga was full  
of cockroaches."
483,disgust, The smell of garlic in rush-hour bus.
490,disgust,"I happened to see the video-tape movie ""This is America - Part  
one"" at my friend's place."
497,disgust,"During the week-end at home, my mother fries greasy and unhealthy  
meat dishes which make me feel sick."
504,disgust,"When I went home by train from Sicilia, I was molested by a man."
511,disgust,"A friend's boy-friend treated her very badly, let her serve him,  
provoked her and just utilized her."
518,disgust,"It was in a tramway-carriage: A stranger insulted a girl just  
because she blew her nose. I detested his behaviour."
528,disgust,"I came across a group of people with the same basic ideas/beliefs  
who were all fighting and going against what they would say was  
good."
535,disgust,"During a movie in which I saw the effect of white settlers in  
Africa."
542,disgust,"At what I was capable of of selfishly using others for sexual  
encounters, while I held a vision of having a deepening  
above-board (you know, ""girl next door"") devotion to a girl in my  
head. My drives and actions did not match this so consequently I  
felt disgusted at my failure."
548,disgust,"I work part-time as a shop-assistant and a customer spoke to me  
very loudly about an Indian man & white woman with children - how  
horrible that was and would I want to have little dark children."
555,disgust,"Coming home one night - my sister was home, and had been drinking  
heavily and started picking arguments."
559,disgust,"When I saw all the starving people in Ethiopia on T.V.  It felt  
awful to see such suffering."
568,disgust,"When my uncle comes (3 times a year) for the traditional  
Christmas dinner with my grandparents and other relatives and is  
very drunk."
574,disgust,"Very intoxicated men who incite each other to fight.   I met a  
vile smelling man on the tram who got closer and closer to me  
till I got up, then he got angry."
580,disgust,"I worked in a harbour and emptied latrine containers from the  
back of the lorries."
584,disgust,"When I was a young teenager (14)  my brother-in-law to be had  
made heavy advances to me.  I did not understand very well what  
it was all about but I reacted strongly and the feelings are  
still there."
589,disgust,"I had intercourse with someone and then I realized that what I  
had done was wrong and it disgusted me."
595,disgust,Helping older people on the toilet.
601,disgust,"I was present when they found a shop-keeper dead in his shop.   
He had been shot with a shotgun at close range."
607,disgust,"When I was touring Asia with my present football team, I saw old  
Europeans with young asiatic prostitutes."
612,disgust,"With my mouth full of bun, I drank directly from a packet of milk  
which turned out to be weeks old (completely separated).  It took  
a while for the milk to seep through the bun."
622,disgust,"At an anti-pornography meeting, when samples from films and  
magazines were shown."
635,disgust,"My boss on the job failed to keep his promise about something he  
knew was extremely important to me."
642,disgust,"When my mother's new husband treated her and my brothers and  
sisters badly."
648,disgust,Slaughtering of animals.
655,disgust,Can't describe any disgust situation.
662,disgust,"When I learned that a relative had been spreading rumours about  
me."
669,disgust,"There is a certain person, whom I only have seen. He makes me  
cringe, feel disgust."
682,disgust,"Was confronted with a person having negative thoughts of other  
people because of their social status, beliefs, color and  
outlook on life (perspective)."
689,disgust,"In a public swimming hall I saw a very aggressive man who  
practically attacked the children who got in his way when he was  
swimming."
696,disgust,"This is difficult, since I don't remember feeling disgust towards  
anyone."
703,disgust,"The murder of two girls on a school trip to Berlin (and sexual  
crimes generally) a couple of years ago."
710,disgust,"Some people were unfairly treated, because of their  
nationality/colour."
717,disgust,Close friends talking badly of other friends.
724,disgust,"Political and military trnsgressions around the world, generally  
speaking. This cannot be described through this questionaire."
735,disgust,Can't remember having had this feeling.
742,disgust,"Having been unjustly punished, I feel disgust towards the person  
responsible."
749,disgust,"Reading about executions and massacres which happened during  
World War II, I felt disgust towards those who did it."
756,disgust,"When people manipulate others through appearing better than what  
they really are."
763,disgust,"Quarreling with my father, when he made false assertions."
770,disgust,Can't remember any episode of disgust.
777,disgust,"Outside a night club, a grown man was sitting on top of a younger  
woman, beating her up."
784,disgust,Can't remember any such feelings now.
791,disgust,The sadistinc exacution of a student in the USA.
798,disgust,Seeing a pornographic film when looking for a place to live.
805,disgust,Maltreatment of children.
812,disgust,"I feel disgust towards those who are responsible for the death of  
others."
819,disgust,Overeating a traditional type of food - blood pudding.
826,disgust,Does not apply.
833,disgust,"A teacher gave me lower grades than I was entitled to, and was  
hoping for."
840,disgust,"When a ""friend"" dropped a frog down my neck, and I didn't know  
what it was."
847,disgust,"I had a discussion with my wife about an over-weight acquaintance of  
our's, about her eating habits and the scars caused by her  
pregnancy."
854,disgust,A saturday night a bus full of drunken people.
861,disgust,"As a child, when I saw an ""unesthetic"" sight."
868,disgust,"We were at a hamburger bar and a man at a table nearby started  
coughing and spitting into his plate."
875,disgust,"On Reperbahn, in a restaurant, a ""charming"" old saleswoman came  
to beg a drink for herself."
882,disgust,"In the army, an acquaintance of mine tended to use his position  
to advance his own interests."
889,disgust,"When I saw hundreds of snakes twisting over one another in a  
movie."
896,disgust,A rich man expressing disgust towards an alcoholic.
901,disgust,"In the bus I was sitting next to a colleage who was drunk and  
behaved in keeping with his state."
908,disgust,A too eager approach by a dirty drunken person in a bus.
915,disgust,"When I noticed that a nice person was being exploited  
economically."
922,disgust,"At my grandmother's detestable and selfish conduct towards my  
elder sister, although her behavior was due to senility and lack of  
understanding."
929,disgust,"Spoilt, smashed and molded potatoes in the fridge, and having to  
clean up the dish later."
936,disgust,"My parents inherited an appartment and this made them behave in a  
peculiar manner."
943,disgust,"I felt disgusted at the environment while getting back to my  
student lodging. I did not see anything in the suburb which had  
been planned by taking people's comfort into account."
949,disgust,"In the army, I had been in hospital for two weeks and as soon as  
I returned to the company, a sergeant ordered me to fetch a load  
on the tractor trailer."
956,disgust,"I was travelling in a local train when a drunkard, smelling  
terribly, entered the same carriage and started eating fish that  
was stinking."
963,disgust,"When an untidy and heavyly drunk person made endeavours to  
approach me."
970,disgust,"When a friend of mine got drunk and started to blame and scorn my  
other friends and me."
977,disgust,"The male friend of my mother (a widow) moved in to live with us.   
I did not like the man."
984,disgust,"A series about Freud was shown on TV.  In it, a tampon had been  
set in the nose of a woman, and forgotten there.  After great  
pain it was taken off (close-up picture), the woman was bleeding  
from the nose and the mouth."
991,disgust,[ The same as in anger.]
998,disgust,Watching a violent movie.
1005,disgust,"When an acquaintance of mine told me about the way his parents  
treated their sons in an unequal manner.  The most successful of  
them got continuous encouragement, and the youngest was not  
encouraged and was rejected."
1012,disgust,"In a film, there was an episode where they used a chain saw to  
cut a man.  I could not look at it, but I could not avoid  
listening either.  I sought shelter in my boyfriend's arms."
1019,disgust,"When an acquaintance (he was drunk) of my room-mate vomitted on the kitchen  
carpet.  It was past mid-night and my room-mate had just moved in,  
this acquaintance had helped her move in. 
"
1026,disgust,"When an unpleasant person tried to make friends with me.  A  
subtle, small, insignificant, grey being whose helplessness and  
neutrality evoked the feeling of disgust in me."
1033,disgust,A friend of mine came to see me when he was quite drunk.
1040,disgust,"I detested my father who was a drunkard.  He would rave,  
threaten and blame my mother and me.  He finally drove us away  
from home."
1047,disgust,"When I was watching a movie with many violent episodes.  They  
accurately showed the cutting of corpses, etc..."
1054,disgust,"My life-partner is going through a crisis (way of life, old-fashioned values)  
and can only get out of it by talking bold decisions.  I have  
noticed his cowardice and attempts to escape his problems by  
drinking.  I detest his drinking and his being full of self-pity."
1061,disgust,A man spat on the wall of a house.
1068,disgust,"While reading Olli Jalonen's new book, the distant, cold and  
selfish relationships between people (in the book) made me feel  
disgusted."
1075,disgust,A very drunk person.
1082,disgust,[ When some people act very important in any situation.]
1089,disgust,"My mother called me because she had read through the enveloppe a letter  
addressed to me.  She denied having read it intentionally and  
said ""the words just popped out through the enveloppe as the sun  
was shining on it"". Hah Hah."
1096,disgust,"On a trip abroad, a lady-like member of our group turned out to  
be an alcoholic.  She spoilt many days of my holidays because of  
her behaviour and paranoia."
1103,disgust,"While watching the movie called ""Deer hunter"" on TV, when it  
showed how prisoners were treated."
1110,disgust,"When I heard about the advances an acquaintance of mine had made  
to my friends, who did not approve of them."
1117,disgust,"A nightmare.  I was dreaming about bloodsuckers, which I tried to  
shake off from my body, they are everywhere, they get glued, they  
suck.  And there are a lot of them.  I panic."
1124,disgust,"While walking on the street with a good friend of mine, we met an  
acquaintance of hers.  My friend started showing off and telling  
false stories about herself and praising herself."
1131,disgust,"After the first of May, I detested my fiance's friends, who had  
piled on to our party and spoilt it completely."
1138,disgust,When I saw a spider.
1145,disgust,"Once again, my life partner came back home drunk at midnight."
1152,disgust,"In the morning, the cat of my landlady had vomited on the floor,  
near the staircase I take to go to the bathroom."
1159,disgust,"At school, I detested the spinach gruel which had lumps of flour  
in it."
1166,disgust,"When I noticed two spiders running on the floor in different  
directions."
1173,disgust,The disgust I feel towards a certain person.
1180,disgust,"A man tried to have sexual intercourse with me, though I had  
communicated my unwillingness.  Later on, I felt disgust at that  
person as well as myself because I had partly submitted."
1187,disgust,"In a lift a drunken, fat and untidy man tried to make advances at  
me."
1194,disgust,"When I was working, I got treated in a way which I felt was not  
democratic."
1204,disgust,"I happened to see two boys fighting, one of them fell down and  
hurt his head.  The other one used this to spank the head of the 
boy on the ground."
1211,disgust,"I once watched the series called ""Dynasty"" on TV, and I detested  
it."
1217,disgust,"One of my fellow students used questionable and unfair means to  
advance her studies faster than others.  I detested her."
1224,disgust,"While travelling in a bus, there were three people sitting behind  
me (two men and a woman).  They were drunk and the conversation  
was unbelievable (about fucking, fellatio, etc...).  They tried  
to get others to take part in the conversation.  I loathed it and  
felt like crying."
1231,disgust,"I was on my way home by bus.  A man who had drunk a fair amount of  
alcohol started talking, trying to hug and pat a woman sitting  
next to him.  Fortunately it was not me."
1238,disgust,"I heard somebody talk about studies in a highly enthusiastic  
""student-like"" way."
1245,disgust,"The behaviour of a fellow towards me and some others in the army  
was really mean.  I detested this."
1252,disgust,"Yesterday in the elevator a man started smoking, this is  
something I just can not tolerate."
1259,disgust,"I saw a movie called ""The Thing"", the film directed by John  
Carpenter.  The monster in the film made me feel disgusted."
1266,disgust,When I saw our computer teacher.
1273,disgust,"When I was still a child, I saw a horror film on TV in which  
there was a rotten human skull."
1278,disgust,"Father said: If you are pregnant, you will have to procure  
abortion. I was filled with disgust against my father."
1285,disgust,"A gigantic spider climbed over my face and what is more - in my  
own flat."
1292,disgust,"Scuffle in a carriage of the underground in Vienna, three drunk  
men thrashed a man in a wheel chair - I watched the scene from  
another carriage."
1299,disgust,"Eco-activists demonstrated against a project to build a power station  
at the Danube in the middle of a lowland forest (Hainburg) and  
the government decided to delay it for another year. When my  
father heard about it, he said that we needed another Hitler."
1306,disgust,"In broad daylight I saw an untidy old man pissing and playing  
with his penis in the middle of the town."
1311,disgust,"I read a book about the sexual phantasies of women; I read about  
a woman having sexual intercourse with a dog."
1318,disgust,"When I entered the dissecting room for the first time. I think I  
felt disgusted mainly because of the bad smell of formaline."
1325,disgust,"Old man in hospital, hollow-cheeked, only one half of his nose  
and glass-eye, rattling breath."
1332,disgust,"Several weeks ago, I had problems with friends, I felt disgusted  
by a friend."
1339,disgust,"On a trip I passed by a cellulose factory. It was a fine day,  
beautiful landscape; I observed this factory with disgust."
1346,disgust,"In a certain book I read about cruelties and violence in prison  
and souteneur circles; I felt especially disgusted when I read  
detailed descriptions of physical and mental torture of less  
powerful people."
1353,disgust,"A friend prepared a soup with chicken heads and invited me to eat  
it. I saw the eyes staring at me and the tongues hanging out of  
the bills. I was so disgusted that I felt nausea and had to leave  
the room."
1360,disgust,A drunken man forced me to kiss him.
1367,disgust,"A friend told me how he managed to win the sympathy of as many  
people as possible. He said he first listened to what they said  
and then he tried to only say things they would like to hear.  
He would never express his own opinion. I felt really disgusted  
when he told that."
1374,disgust,"When I stayed in the house of friends, I washed my face and  
wanted to dry it with a towel. This towel seemed to have been  
used over a long time already. It smelled indefinably awful."
1381,disgust,"In school I had difficulties mith mathematics. When I had to work  
for an examination, I really felt disgusted."
1388,disgust,"I saw a physically handicapped young man whose spittle ran out of  
his mouth while speaking."
1395,disgust,"During a football game, another player who was perspiring very  
strongly ran into me."
1402,disgust,"I read a book about the situation in South-Africa, about the  
terrible violations of human rights. I was disgusted with the  
white population."
1409,disgust,"A drunk man attacked his wife and wanted to humiliate her by  
insulting her. Then he turned violent and started to beat her in  
front of her child. She left it happen without saying a word in  
order not to make things worse. I watched the scene and tried to  
calm the man, but without success. Just because he was stronger  
we had to comply. From that day I detested him."
1416,disgust,"I watched the news at the TV, it was a commentary about  
""Hainburg"". I felt disgusted when I heard members of the union  
speak about the situation."
1423,disgust,A friend was assaulted by a young man on her way home.
1430,disgust,"At school a classmate who was a very good pupil had to help  
another boy who performed less well. He told him on purpose the  
wrong things so that he had to repeat a year."
1437,disgust,"When I was younger I often saw my father come home drunk (he had  
big problems at that time). Once he woke me up in the middle of  
the night and shouted at me."
1444,disgust,"One day, when I was twelve years old, my brother took some slimy  
substance swimming on the surface of a pot of vinegar made of  
cider and threatened to throw it at me."
1451,disgust,"When I listened to a conversation of friends talking about the  
power of money."
1453,disgust,"I read about a monk who had been murdered and put into a barrel  
which was filled with blood of pigs."
1460,disgust,"At a discussion a friend took a ""faschistic view"", what I had not  
expected."
1467,disgust,"Some time ago a girl tried to make me up without any action of my  
part. She used all possible means. Although I behaved refusingly  
she did not give up for a longer time."
1479,disgust,"When a boy had continued to use foul language and swearing in  
front of a group of my friends."
1486,disgust,"No very strong such emotion. Treatment of my sister by her  
dancing instructor - he is a ""user"", i.e., takes advantage of her  
good nature."
1493,disgust,"On boat trip - saw mother giving young child (aprox 6-7 years)  
cigarettes."
1500,disgust,People spitting in railway stations.
1508,disgust,"I assisted to a scene where the police attacked a person that  
didn't have his documents. The savagery was too much, and the  
attacked person bleeded to much."
1515,disgust,"The acts of brutal violence in generally disgusts me. Fights,  
phisical aggrssion, etc."
1520,disgust,"In a sexual experience with an unknown woman where after the  
sexual act I only could go away without looking backwards."
1527,disgust,"When I saw a woman subjugated by money and not being able to hide  
how she hated herself for not having the will power to get out of  
such a situation because it was convenient, according to what she  
told me."
1535,disgust,My brother caught a spider and let his frog eat it.
1542,disgust,"I have a horror of spiders and snakes. On a walk through the wood  
I saw the body of a slow-worm (without the head)."
1549,disgust,"I went out with my sister, her boyfriend and his friend. I did  
not like this young man. But suddenly he overcame me and kissed  
me. He was very strong so that I could not defend myself."
1556,disgust,When I was molested by an old drunk man.
1563,disgust,"At the butcher's I saw an animal which had just been slaughtered;  
blood was dripping on the floor."
1570,disgust,"When I attended school, our class visited an institution for  
mentally and physically handicapped persons. Although I tried to  
control my feelings, I was disgusted."
1577,disgust,"At a party I met a girl who drew me to her, told me some nonsense  
and always wanted to kiss me."
1584,disgust,"I was sitting in a station-hall and watching a lavatory  
attendant. She was very dirty. She started to eat something out  
of a dirty cup - it must have been something like lard. Then she  
took some breadcrumbs out of the pockets of her apron and ate  
them. I had to leave - I felt like vomitting. "
1591,disgust,"When I watched a report about El Salvador on TV, I saw people who  
had been murdered by terrible methods."
1597,disgust,"I studied medicine for several semesters. I was always disgusted  
when we had the dissecting-course. I cannot understand why some  
persons like this course."
1604,disgust,"On my way to a concert I went with a man who tried to molest me.  
At that moment I did not care much but now the impression fills  
me with disgust."
1611,disgust,"A man whom I like, was drunk and tried to molest me."
1618,disgust,"A friend of mine was telling jokes which I felt to be very  
disgusting, especially because I was eating."
1625,disgust,"Several years ago I stayed with friends in the mountains for one  
week. We lived in a hut and had to cook for ourselves. One day my  
friend did not succeed in preparing spaghetti. That dinner was  
terrible - nevertheless we all ate rather much and had an  
improper and unsavoury conversation."
1632,disgust,Whenever I see a spider or a snake I feel disgusted.
1639,disgust,"On TV I saw a report about church in Amerika. A priest was shown  
who was performing miracles in front of the camera - I felt  
disgusted."
1646,disgust,"When a very near person got into an awkward situation but showed  
only helplessness and indecision."
1653,disgust,When I got indecent offers.
1660,disgust,"In cinema I saw a film which showed how a person was torn out his  
guts when he was still alive."
1667,disgust,"Normally my father never tells vulgar jokes, we do not speak  
about sexual things, too. But once he told such a vulgar joke,  
that I was really disgusted. He did not tell me, but some of his  
friends, but I was present."
1674,disgust,"I had a quarrel with a friend who lived with me in the same flat.  
He moved out. Before he went he invited me and some friends for a  
drink. At last he was totally drunk and smelled disgusting.  
Besides, he told lies about us and behaved as if he was to be  
pitied."
1681,disgust,I was insulted without a reason by a drunk man.
1688,disgust,"When my grandmother was about 80 years old, she lived with us for  
several years. I saw her illness. I did not even want to breath  
the air that smelled of her presence."
1695,disgust,"When I was a child, I was sometimes forced to eat things that  
disgusted me."
1702,disgust,"After a pleasant evening with friends in my flat, one of them did  
not want to leave, because he wanted to sleep with me. He said  
that he had fallen in love with me, that he felt alone and so on."
1709,disgust,When I worked at the life-saving sevice and saw the first exitus.
1716,disgust,"When I was in the army, we got a certain dish for dinner that I  
do not like at all. We were not obliged to eat, but I was very  
hungry."
1723,disgust,"When I worked at the life-saving service I was disgusted by a  
patient whose outward appearance was distasteful."
1730,disgust,"I read about a murderer who brutalized his victims by cutting  
open their stomaches and taking out their bowels."
1737,disgust,"When I was walking on the street, I slipped on the dung of a dog.  
I did not fall down, but I felt disgusted by the bad smell on my  
sole."
1744,disgust,"A drunk man bumped into me and wanted to grip me. Fortunately I  
was able to break loose."
1751,disgust,"I saw a drunk man tottering behind his wife and insulting her  
awfully."
1758,disgust,"On my way home in the middle of the night I saw a drunk man and a  
woman who were quarreling, beating each other, shouting and so  
on. I felt disgusted especially because they treated each other  
in such a degrading way."
1765,disgust,"At a party I saw two persons having a fight. The aggressions and  
the hate between these persons produced an unpleasant impression  
on me."
1771,disgust,When I heard about a murder of a 16-year-old girl.
1778,disgust,"3 years ago I served in the army. Once a collegue denounced me  
because of a delict, which is usually committed. I was arrested  
for 3 days. I still detest this man."
1785,disgust,"I think I have hardly had a situation where I felt disgusted.  
Perhaps once, when I saw a big spider."
1792,disgust,"Accidentally seeing a friend in a compromising situation with a  
stranger."
1799,disgust,The price I was charged for work on my car.
1806,disgust,"A friend once reacted childishly (he is 23 yearrs old) to my not  
responding in his favour to a request, that is: he asked me for  
some money I refused, and his reaction was quite childish."
1813,disgust,"At a social event when none of the guests would help to serve  
food or clear tables. It was all beneath them."
1819,disgust,"A colleague and I were sitting on a bench next to an old man in a  
shopping centre. the old man coughed and spluttered somewhat,  
then with his fingers removed the resultant phlegm and mucous  
from his mouth, and transferred it onto the armrest of the  
bench."
1826,disgust,"When I heard about the way a parent of a friend had mistreated  
him, and caused a great instability."
1833,disgust,"Disgust at a girl I know for continually feeling sorry for herself  
and never acting positively to do something about her problems."
1840,disgust,"I realised that someone was insidiously attempting to shit me off  
I was disgusted with him for doing so, because I afforded him  
with no excuse to do so."
1847,disgust,"Disgust with myself for consistently making foolish errors in  
communicating with others (asking for 1/2 Kg of nuts when I only  
wanted 50 g)."
1854,disgust,"I discovered some pornographic literature in a workmates drawers.  
The literature featured pictures of naked women defecating on one  
another."
1861,disgust,"A girl with whom I was staying having sex with a person for about  
3 nights running, and then with his brother the following night,  
and back again."
1868,disgust,"Disgust with oneself after being intoxicated enough to go to bed  
with a stranger."
1875,disgust,When my father revealed inconsistent morals.
1882,disgust,A lecturer in great detail spoke about his sexual experiences.
1889,disgust,"Viewing the nuclear war film ""Threads""."
1896,disgust,When I became aware that an acquaintance had stolen from friends.
1903,disgust,"A female friend was violently ill on the return journey from a  
wedding reception we attended. Getting her out of the car when  
home took quite a while."
1910,disgust,"When after a party celebrating a friend's 21st birthday - upon  
leaving I found 10 people outside throwing up and further 4  
unconscious."
1917,disgust,"We had friends to dinner and one of them threw a beer bottle in  
the air, and it bounced on an expensive table and damaged the  
table .The person did not apologise."
1924,disgust,"Discovering a good friend had lied to me, resulting in a  
detrimental relationship with another person."
1931,disgust,"When I found out some family friends were embezzelling the  
company they worked for - using company petrol and food supplies  
and claiming furniture and crockery."
1938,disgust,Someone ruining someone's property just for the fun of it.
1945,disgust,"Was picking up my father from work and on passing through the  
Valley watched three prostitutes walk up and down waiting for  
someone to pick them up. Clothing was disgusting."
1952,disgust,"When I heard that one of my good friends, when at a party, had  
got herself involved with some very undesirable characters and  
was experimenting with drugs."
1959,disgust,"While watching a film of an experimental operation on a cat's  
brain in which the cat had metal pieces protruding from its eyes,  
mouth etc. to keep the head stable while being cut open."
1966,disgust,"At school, when the only thing people my age could think of was getting  
rolling drunk. They couldn't have a good time without firstly  
getting drunk."
1973,disgust,"During the PY 102 film session on Tuesday, one of the films shown   
was of an experiment on a live cat involving strapping it into a  
machine for possibly days, and doing things to its brain."
1980,disgust,"At a party where the boys were telling revolting stories about  
the girls they'd been with."
1987,disgust,"At my father, when he yelled and accused my sister's friend (over  
the phone) of doing something he didn't do, or know anything  
about."
1994,disgust,"A situation where I ignored my beliefs and principles for a trip  
of whimsy."
2001,disgust,Hearing of a filthy situation over the phone.
2008,disgust,At a night club watching little tarts trying to earn a living.
2015,disgust,"When I have seen people very drunk and making fools of  
themselves."
2022,disgust,"When walking along the beach with my boyfriend, we saw 2 people  
having sex on the sand dunes in full view of everyone. It was the  
fact that they chose that area in which to have sex, that  
disgusted me."
2024,disgust,"I stayed at the Coast for a weekend with friends. My brother came  
to drive me home, but was rude, and in a hurry to rejoin his  
friends. I was embarrassed because the family involved was  
extremely nice, and hospitable to him."
2031,disgust,"When I saw a male engineer one year and came back to find he was  
now a female (I don't know it/them personally)."
2041,disgust,Person talking about a situation while eating.
2048,disgust,"On a camp - boys and girls in one cabin. One guy forced himself  
upon another girl and was having intercourse, while the girl in  
the bunk beneath was pretending to be asleep and not be ill."
2055,disgust,"Doctors ignored relative who complained about pain, and is now  
dying of cancer."
2058,disgust,"A person that eat half of a cockroach in a cake without knowing  
it."
2065,disgust,To be kissed by soembody I didn't expect to.
2072,disgust,"When I see all the putridness of people. The fact is the catarrh  
and spits that whash the streets of S.Paulo."
2079,disgust,"To go through the underground way at suburb station of LAPA. Poor  
people and the ambulants badly dressed up in a passage badly  
kept."
2086,disgust,"A dirty person, smelling bad and unknown laying on me."
2092,disgust,"An acquaintance of mine revealed himself in a light unexpected to  
me."
2099,disgust,"When I was watching some scenes from the Bertoluchi's film  
""Twentieth Century""."
2106,disgust,When I happen to witness some sadistic acts.
2113,disgust,I was on a walk with my child when I met a drunk woman.
2120,disgust,Disgust with a subordinate.
2128,disgust,"Someone smoking on Electric train (Electric trains are  
non-smoking) with alcohol smell coming from person.  "
2135,disgust,"When one of my parents verbally, personally abused the other."
2142,disgust,"Being in a Malaysian city with my girlfriend coming out of a  
picture theatre - seeing her rush up to a taxi that a very old  
sick man was trying to get to. Seeing her take over the taxi."
2149,disgust,"When a friend didn't invite her own parents to her Graduation  
ceremony."
2156,disgust,"I was sitting at a rock concert, listening to an extremely loud  
band. A tiny baby in a crawler had been left by his young mother,  
right out in the sun next to a speaker, and was screaming -  
probably in pain."
2163,disgust,"One of my flatmates and I came back to the flat Monday morning,  
to find a real Mess, left by the guy we share with."
2170,disgust,"I have an adopted Aboriginal sister I felt disgust due to the  
racism she has been subjected to."
2177,disgust,"When I discovered my mother had been having an affair with my  
father's best friend, and then ran away with him without even  
speaking to me about what she was doing letting me come home from  
school simply to find her gone. I was filled with disgust and  
contempt."
2184,disgust,"Viewing the results of senseless vandalism to a local primary  
school."
